date,Graduate/Professional,Undergrad - Off Campus,Undergrad - On Campus,Postdocs,Staff,Faculty
2020-08-17,0,0,0,0,0,0
2020-08-18,0,1,0,0,0,0
2020-08-19,0,1,0,0,1,0
2020-08-20,0,6,2,0,0,0
2020-08-21,0,0,0,0,3,0
2020-08-22,0,2,1,0,0,0
2020-08-23,0,2,1,0,0,0
2020-08-24,1,15,6,0,3,0
2020-08-25,0,0,0,0,0,0
2020-08-26,0,2,4,0,0,0
2020-08-27,0,3,6,0,0,0
2020-08-28,1,5,3,0,0,0
2020-08-29,3,2,1,0,1,0
2020-08-30,0,0,0,0,0,0
2020-08-31,0,0,1,0,0,0
2020-09-01,3,2,8,0,2,1
2020-09-02,1,4,2,0,1,0
2020-09-03,0,2,1,0,0,0
2020-09-04,1,1,2,0,1,0
2020-09-05,2,5,4,0,0,0
2020-09-06,0,0,0,0,0,0
2020-09-07,1,3,1,0,0,0
2020-09-08,0,0,0,0,0,0
2020-09-09,0,1,1,1,0,0
2020-09-10,0,0,1,0,0,0
2020-09-11,0,1,1,1,0,0
2020-09-12,2,5,8,0,0,0
2020-09-13,1,1,2,1,0,0
2020-09-14,0,0,0,2,0,0
2020-09-15,0,0,0,1,0,0
2020-09-16,0,1,1,0,0,0
2020-09-17,1,2,4,0,0,0
2020-09-18,1,0,2,0,0,0
2020-09-19,0,0,2,0,0,0
2020-09-20,0,4,2,0,0,0
2020-09-21,0,0,0,0,1,0
2020-09-22,1,0,2,0,0,0
2020-09-23,1,5,0,0,1,0
2020-09-24,0,10,1,0,0,1
2020-09-25,1,8,2,0,2,0
2020-09-26,0,3,1,0,0,0
2020-09-27,0,3,0,0,1,0
2020-09-28,0,0,0,0,0,0
2020-09-29,3,3,0,1,0,0
2020-09-30,0,0,1,0,0,1
2020-10-01,0,2,0,0,0,0
2020-10-02,0,8,6,0,0,1
2020-10-03,0,1,1,0,0,0
2020-10-04,0,3,1,1,0,0
2020-10-05,0,0,1,1,0,0
2020-10-06,0,0,0,2,0,0
2020-10-07,2,0,6,0,0,0
2020-10-08,2,1,2,2,0,1
2020-10-09,0,2,7,0,0,0
2020-10-10,0,1,1,1,0,0
2020-10-11,0,3,3,0,0,0
